OBJECTID,StaType,StnType,ZipCode,State,City,Address,Station Name,lon,lat,Code
4,Station Building (with waiting room),TRAIN,21001,MD,Aberdeen,18 East Bel Air Avenue,"Aberdeen, MD",-76.16326,39.508447,ABE
5,Platform with Shelter,TRAIN,8201,NJ,Absecon,Shore Road and Ohio Avenue,"Albion, CA",-74.501475,39.424041,ABN
6,Station Building (with waiting room),TRAIN,87102,NM,Albuquerque,320 1st Street SW,Albuquerque,-106.647975,35.082061,ABQ
7,Platform with Shelter,TRAIN,94509,CA,Antioch,100 I Street,"Arcata, CA",-121.816024,38.0177,ACA
9,Station Building (with waiting room),TRAIN,63621,MO,Arcadia,13700 Highway 21,"Aiken, SC",-90.624403,37.592161,ACD
10,Station Building (with waiting room),TRAIN,8401,NJ,Atlantic City,1 Atlantic City Expressway,Atlantic City Rail Terminal,-74.439903,39.362689,ACY
11,Station Building (with waiting room),TRAIN,73401,OK,Ardmore,251 East Main Street,Ardmore,-97.12551,34.172465,ADM
14,Platform with Shelter,TRAIN,41101,KY,Ashland,99 15th Street,Ashland,-82.639603,38.480875,AKY
16,Station Building (with waiting room),TRAIN,12144,NY,Rensselaer,525 East Street,Albany-Rensselaer Station,-73.741147,42.641029,ALB
17,Platform only (no shelter),TRAIN,44601,OH,Alliance,820 East Main Street,"Alhambra, CA",-81.092904,40.921275,ALC
18,Platform with Shelter,TRAIN,24910,WV,Alderson,1 C&O Plaza on Railroad Avenue,"Albany, OR",-80.644856,37.724277,ALD
19,Station Building (with waiting room),TRAIN,49224,MI,Albion,300 North Eaton Street,"Alice, TX",-84.755814,42.247196,ALI
21,Station Building (with waiting room),TRAIN,62002,IL,Alton,1 Golf Road,Allentown,-90.157298,38.921007,ALN
22,Station Building (with waiting room),TRAIN,79830,TX,Alpine,102 West Holland Avenue,Alpine,-103.661513,30.357302,ALP
23,Station Building (with waiting room),TRAIN,16601,PA,Altoona,1231 11th Avenue,Altoona,-78.40162,40.514475,ALT
24,Station Building (with waiting room),TRAIN,22301,VA,Alexandria,110 Callahan Drive,"Alexandria, VA",-77.06233,38.806503,ALX
25,Station Building (with waiting room),TRAIN,97321,OR,Albany,110 10th Avenue SW,Albany,-123.102774,44.630464,ALY
26,Station Building (with waiting room),TRAIN,12010,NY,Amsterdam,466 West Main Street,"Amsterdam, NY",-74.2195,42.953719,AMS
27,Station Building (with waiting room),TRAIN,92806,CA,Anaheim,2626 East Katella Avenue,Anaheim,-117.877308,33.803803,ANA
30,Station Building (with waiting room),TRAIN,48104,MI,Ann Arbor,325 Depot Street,Ann Arbor,-83.743154,42.287692,ARB
32,Station Building (with waiting room),TRAIN,19003,PA,Ardmore,39 Station Avenue,Ardmore,-75.290399,40.008278,ARD
33,Station Building (with waiting room),TRAIN,71923,AR,Arkadelphia,798 South 5th Street,"Arkadelphia, AR",-93.053284,34.113919,ARK
34,Platform with Shelter,TRAIN,95603,CA,Auburn,277 Nevada Street,"Artesia, NM",-121.083187,38.903638,ARN
36,Platform with Shelter,TRAIN,23005,VA,Ashland,112 North Railroad Avenue,"Ashland, KY",-77.481304,37.759596,ASD
37,Station Building (with waiting room),TRAIN,L7T 4A8,ON,Aldershot,1199 Waterdown Road,"Astoria, OR",-79.855712,43.313413,AST
39,Station Building (with waiting room),TRAIN,30309,GA,Atlanta,"1688 Peachtree Street, NW",Atlanta Peachtree Station,-84.392477,33.799445,ATL
40,Station Building (with waiting room),TRAIN,36201,AL,Anniston,126 West 4th Street,"Atlanta, GA",-85.832145,33.649112,ATN
